name_he,brand,barcode,weight_g,price,fat_g_per100,sat_fat_g_per100,energy_kcal_per100,image_url,confidence,notes
חמאה ללא תוספת מלח,VALIO,8175173,,16.9,82.0,48.0,731.0,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_zoom/CKS32_Z_P_8175173_1.png",high,subtype=cultured_fermented; fermented=תרבית
חמאה לה גל זהב,LE GALL,3274932103802,,14.9,82.0,53.0,725.0,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_zoom/TAH44_Z_P_3274932103802_1.png",high,subtype=plain
חמאה מלוחה,VALIO,7290108503746,,16.9,82.0,48.0,731.0,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_zoom/MCP52_Z_P_7290108503746_1.png",high,subtype=cultured_fermented; fermented=תרבית
חמאה לה גל זהב עם מלח,LE GALL,3274932103857,,14.9,80.0,53.0,725.0,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_zoom/TCK54_Z_P_3274932103857_1.png",high,subtype=salted
חמאה צרפתית חצי שמנה 60%,אלוויר,3451790562631,,15.9,60.0,42.0,547.0,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_zoom/KCU52_Z_P_3451790562631_1.png",high,subtype=cultured_fermented; fermented=מחמצת
חמאה FERMA 82.5%,פרמה,4820217240114,,13.9,,,,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_zoom/SWP36_Z_P_4820217240114_1.png",medium,subtype=plain; INSUFFICIENT_NUTRITION
חמאה צרפתית רכה למריחה,אלוויר,3161911229199,,24.9,,,,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_zoom/KCU54_Z_P_3161911229199_1.png",medium,subtype=cultured_fermented; fermented=תרבית; INSUFFICIENT_NUTRITION
חמאה מלוחה,אלוויר,3451790562990,,15.9,60.0,42.0,547.0,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_zoom/KQP60_Z_P_3451790562990_1.png",high,subtype=cultured_fermented; fermented=מחמצת
חמאה 82.5% רושן,ROSHEN,4823077630057,,13.9,82.5,50.25,748.0,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_zoom/UYK52_Z_P_4823077630057_1.png",high,subtype=plain
חמאה מתובלת,גבינות ניצן,369709,,14.9,70.0,43.0,638.0,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_zoom/ZWO34_Z_P_369709_1.png",high,subtype=flavored_herbed
חמאה מלוחה מבלגיה,יורו מחלבות אירופה,7290117263563,,14.5,80.0,58.0,731.0,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_zoom/WKQ52_Z_P_7290117263563_1.png",high,subtype=salted
חמאה בלגית ללא תוספת מלח,יורו מחלבות אירופה,7290015039130,,14.5,82.0,60.0,748.0,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_zoom/SVR40_Z_P_7290015039130_1.png",high,subtype=cultured_fermented; fermented=תרבית
חמאה מהדרין,תנובה,7290116932033,,9.9,81.0,52.7,734.0,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_zoom/ZZM46_Z_P_7290116932033_1.png",high,subtype=plain
חמאה איטלקית,מחלבות גד,7290019635147,,10.9,83.0,58.0,752.0,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_zoom/FRO54_Z_P_7290019635147_1.png",high,subtype=plain
חמאה איטלקית מלוחה,מחלבות גד,7290019635130,,10.9,81.0,57.0,734.0,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_zoom/FQX46_Z_P_7290019635130_1.png",high,subtype=salted
חמאה מלוחה רכה למריחה,אלוויר,3161911366429,,24.9,80.0,52.0,725.0,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_zoom/FCW52_Z_P_3161911366429_1.png",high,subtype=salted
"חמאה 82.5% רושן בד""ץ",ROSHEN,4823077643064,,13.9,82.5,50.25,748.0,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_zoom/OER54_Z_P_4823077643064_1.png",high,subtype=plain
